Time,FaceID,Status,Score
57.15,0,Attentive,0
57.29,0,Attentive,0
57.44,0,Attentive,0
57.55,0,Attentive,0
57.66,0,Attentive,0
57.76,0,Attentive,0
57.86,0,Attentive,0
57.96,0,Attentive,0
58.1,0,Attentive,0
58.1,1,Attentive,98
58.2,0,Attentive,0
58.21,1,Attentive,98
58.31,0,Attentive,0
58.31,1,Attentive,98
58.44,0,Attentive,0
58.44,1,Attentive,98
58.58,0,Attentive,0
58.59,1,Attentive,98
58.72,0,Attentive,0
58.72,1,Attentive,98
58.92,0,Distracted,0
59.03,0,Distracted,0
59.14,0,Distracted,0
59.24,0,Distracted,0
59.34,0,Distracted,0
59.45,0,Distracted,0
59.56,0,Distracted,0
59.68,0,Distracted,0
59.82,0,Distracted,0
59.96,0,Attentive,0
60.09,0,Attentive,0
60.22,0,Attentive,0
60.34,0,Attentive,0
60.45,0,Attentive,0
60.67,0,Attentive,0
60.78,0,Attentive,0
60.91,0,Attentive,0
60.91,1,Attentive,98
61.05,0,Attentive,0
61.05,1,Attentive,98
61.17,0,Attentive,0
61.17,1,Attentive,98
61.28,0,Attentive,0
61.39,0,Attentive,0
61.5,0,Attentive,0
61.62,0,Attentive,0
61.73,0,Attentive,0
61.83,0,Attentive,0
61.93,0,Attentive,0
62.03,0,Attentive,0
62.15,0,Attentive,0
62.29,0,Attentive,0
62.4,0,Attentive,0
62.51,0,Attentive,0
62.61,0,Attentive,0
62.72,0,Attentive,0
62.82,0,Attentive,0
62.93,0,Attentive,0
63.03,0,Attentive,0
63.14,0,Attentive,0
63.25,0,Attentive,0
63.41,0,Attentive,0
63.56,0,Attentive,0
63.69,0,Attentive,0
63.96,0,Attentive,0
64.06,0,Attentive,0
64.17,0,Attentive,0
64.28,0,Attentive,0
